"Sample"	"A_T_coord_clusters"	"G_C_coord_clusters"	"Non_coord_clusters"	"clusters"	"mutations"	"complex"	"insertions"	"deletions"	"indels"	"substitutions"	"bases"	"A_to_T"	"A_to_G"	"A_to_C"	"A"	"a"	"T_to_A"	"T_to_C"	"T_to_G"	"T"	"t"	"G_to_C"	"G_to_T"	"G_to_A"	"G"	"g"	"C_to_G"	"C_to_A"	"C_to_T"	"C"	"c"	"tCw_to_G"	"tCw_to_A"	"tCw_to_T"	"tCw"	"tcw"	"tCw_per_mut"	"tCw_per_C"	"tcw_per_c"	"enrich_tCw"	"freq_tCw"	"wGa_to_C"	"wGa_to_T"	"wGa_to_A"	"wGa"	"wga"	"wGa_per_mut"	"wGa_per_G"	"wga_per_g"	"enrich_wGa"	"freq_wGa"	"[tCw_to_G+tCw_to_T]_per_mut"	"tCw_to_G+tCw_to_T"	"[(C_to_G)+(C_to_T)]-[(tCw_to_G)+(tCw_to_T)]"	"tcw+wga"	"c-tcw"	"Fisher_p-value_tCw"	"BH_Fisher_p-value_tCw"	"bonferroni_Fisher_p-value_tCw"	"odds_ratio_tCw"	"95%_confidence_lower_tCw"	"95%_confidence_upper_tCw"	"APOBEC_enrich"	"tCw_to_G_enrich"	"Fisher_p-value_tCw_to_G"	"BH_Fisher_p-value_tCw_to_G"	"bonferroni_Fisher_p-value_tCw_to_G"	"odds_ratio_tCw_to_G"	"tCw_to_T_enrich"	"Fisher_p-value_tCw_to_T"	"BH_Fisher_p-value_tCw_to_T"	"bonferroni_Fisher_p-value_tCw_to_T"	"odds_ratio_tCw_to_T"	"p-value_GvT_skew"	"BH_p-value_GvT_skew"	"bonferroni_p-value_GvT_skew"	"non-APOBEC_mutations"	"non-APOBEC_substitutions"	"APOBEC_MutLoad_MinEstimate"
"TCGA-D3-A1Q1-06A-21D-A196-08"	0	0	0	0	58	0	1	3	4	54	2214	1	2	0	3	490	1	4	2	7	553	4	7	12	23	573	6	2	13	21	598	1	0	1	2	67	0.0344827586206897	0.0952380952380952	0.112040133779264	0.850035536602701	0.0298507462686567	0	2	1	3	83	0.0517241379310345	0.130434782608696	0.144851657940663	0.900471451021477	0.036144578313253	0.0517241379310345	3	32	150	1021	0.842382822209156	0.878744670649839	1	0.638328679751902	0.163901231880394	Inf	0.669142857142857	0.780666666666667	0.746817758922773	1	1	0.756457967536753	0.624533333333333	0.84774097390863	0.904412053886657	1	0.592099800187725	1	1	1	55	51	0
"TCGA-D3-A1Q3-06A-11D-A196-08"	0	0	0	0	57	0	1	6	7	50	2050	3	14	1	18	526	2	4	2	8	535	2	3	6	11	486	4	1	8	13	503	3	0	1	4	80	0.0701754385964912	0.307692307692308	0.159045725646123	1.93461538461538	0.05	0	0	0	0	79	0	0	0.162551440329218	0	0	0.0701754385964912	4	16	159	830	0.408707646794766	0.457626322665954	1	1.30465575732897	0.396169281839569	Inf	1.2440251572327	3.11006289308176	0.0580720310372854	0.509589127740447	1	5.20714058897801	0.44429469901168	0.913737877531946	0.967094833884176	1	0.401812893690006	0.485714285714286	0.525586353944563	1	53	46	0
"TCGA-D3-A1Q4-06A-11D-A196-08"	0	0	0	0	318	8	1	3	4	306	12546	4	5	3	12	3086	5	7	3	15	3108	2	7	125	134	3117	4	5	136	145	3235	1	1	23	25	462	0.0786163522012579	0.172413793103448	0.142812982998454	1.2072697417525	0.0541125541125541	0	0	26	26	419	0.0817610062893082	0.194029850746269	0.134424125761951	1.44341538132725	0.0620525059665871	0.157232704402516	50	217	881	5471	0.0185436730398971	0.0283035009556324	1	1.43078308206682	1.07827418223493	Inf	1.35018514031127	1.20166477487703	0.591969748127145	1	1	1.24194671931001	1.35359940158562	0.0187253265216617	0.0291954015660317	1	1.4352363930786	3.32084733318165e-25	5.50311843784388e-25	9.63045726622679e-23	268	256	13
"TCGA-D3-A1Q5-06A-11D-A196-08"	0	0	0	0	425	10	0	3	3	412	16892	5	4	4	13	4020	4	7	4	15	3984	4	14	177	195	4532	2	10	177	189	4356	0	0	26	26	553	0.0611764705882353	0.137566137566138	0.126951331496786	1.08361319211229	0.0470162748643761	1	2	26	29	561	0.0682352941176471	0.148717948717949	0.12378640776699	1.20140774258421	0.0516934046345811	0.124705882352941	53	307	1114	7774	0.127122534137767	0.156874616595542	1	1.20470873702429	0.922472733785973	Inf	1.17460602433672	1.32974266906044	0.552436309478974	1	1	1.39562762095117	1.17197658968039	0.132972356488051	0.169131506059363	1	1.20154760966789	3.15116172598709e-26	5.34407544173249e-26	9.13836900536256e-24	372	359	0
"TCGA-D3-A1Q6-06A-11D-A196-08"	0	0	0	0	1012	34	0	4	4	974	39934	7	21	4	32	9420	7	16	7	30	9805	4	11	405	420	10334	10	11	471	492	10375	3	2	89	94	1419	0.0928853754940712	0.191056910569106	0.136771084337349	1.39691011075016	0.0662438336856942	0	1	87	88	1391	0.0869565217391304	0.20952380952381	0.13460421908264	1.55659169490945	0.0632638389647735	0.176877470355731	179	711	2810	17899	8.96532654941795e-08	5.30600959047185e-07	2.59994469933121e-05	1.60358932572646	1.3850908967149	Inf	1.48223079691311	1.5792323335028	0.293823325265928	0.803192417420042	1	1.73714439812713	1.48068054404524	1.20965606905324e-07	6.61887283066867e-07	3.5080026002544e-05	1.60149044354209	6.14457028095979e-92	3.36212336127989e-91	1.78192538147834e-89	833	795	58
"TCGA-D3-A1Q7-06A-11D-A19A-08"	0	0	0	0	123	4	1	2	3	116	4756	3	1	2	6	1111	0	1	1	2	1216	0	0	48	48	1204	0	3	57	60	1225	0	0	12	12	174	0.0975609756097561	0.2	0.142040816326531	1.40804597701149	0.0689655172413793	0	0	7	7	150	0.0569105691056911	0.145833333333333	0.124584717607973	1.17055555555556	0.0466666666666667	0.154471544715447	19	86	324	2105	0.108434416175349	0.134961290518675	1	1.43513100635367	0.890450025575987	Inf	1.35658436213992	NA	1	1	1	0	1.35658436213992	0.108434416175349	0.141648561670501	1	1.43513100635367	5.65846675050137e-11	7.19717262125174e-11	1.6409553576454e-08	104	97	0
"TCGA-D3-A1Q8-06A-11D-A19A-08"	0	0	0	0	289	6	0	1	1	282	11562	1	7	4	12	2741	0	8	2	10	2866	2	6	127	135	2999	5	5	115	125	2956	3	2	23	28	430	0.0968858131487889	0.224	0.145466847090663	1.53986976744186	0.0651162790697674	1	1	24	26	413	0.0899653979238754	0.192592592592593	0.137712570856952	1.39851134427406	0.062953995157385	0.176470588235294	51	198	843	5112	0.0048374289858974	0.00865959509821139	1	1.56182087327139	1.17664582365034	Inf	1.44685503580157	4.03660396542959	0.00990256837678996	0.186824778419782	1	8.08032393361883	1.3719449427958	0.0166269050471988	0.0262054481722155	1	1.46148895105058	5.37707469641729e-18	7.64388069588732e-18	1.55935166196101e-15	238	231	16
"TCGA-D3-A1Q9-06A-11D-A19A-08"	0	0	0	0	40	1	1	0	1	38	1558	1	4	1	6	382	1	4	2	7	421	2	1	9	12	376	4	4	5	13	379	2	3	0	5	64	0.125	0.384615384615385	0.168865435356201	2.27764423076923	0.078125	0	1	3	4	52	0.1	0.333333333333333	0.138297872340426	2.41025641025641	0.0769230769230769	0.125	5	15	116	639	0.189272054586255	0.224954491106615	1	1.83444279477308	0.628072750559163	Inf	1.62715517241379	2.16954022988506	0.235102895415277	0.706955734440999	1	2.7491453159772	1.39470443349754	0.371641403789925	0.436340109712867	1	1.50144140641598	1	1	1	35	33	0
"TCGA-D3-A1QA-06A-11D-A196-08"	0	0	0	0	532	10	1	4	5	517	21197	5	9	2	16	5050	5	6	2	13	5249	2	7	227	236	5311	6	11	235	252	5587	1	3	50	54	761	0.101503759398496	0.214285714285714	0.136209056738858	1.57321193917777	0.0709592641261498	2	1	43	46	676	0.0864661654135338	0.194915254237288	0.12728299755225	1.5313534249323	0.0680473372781065	0.180451127819549	96	374	1437	9461	1.36002624284236e-05	4.80984890761322e-05	0.00394407610424284	1.68987719858642	1.37911502841604	Inf	1.54904277528539	2.84394572025052	0.0770916461585924	0.548895837520418	1	3.94981567773946	1.52662021346781	3.19084021965576e-05	0.000105152689056838	0.0092534366370017	1.65925368989121	6.71944057097875e-44	1.69446762224682e-43	1.94863776558384e-41	436	421	34
"TCGA-D3-A1QB-06A-11D-A19A-08"	0	0	0	0	434	14	0	2	2	418	17138	4	10	5	19	4110	6	7	7	20	4090	4	4	165	173	4449	6	6	194	206	4489	1	1	32	34	588	0.0783410138248848	0.16504854368932	0.130986856760971	1.26003896704313	0.0578231292517007	0	1	36	37	598	0.0852534562211982	0.213872832369942	0.134412227466846	1.59117095520715	0.0618729096989967	0.158986175115207	69	300	1186	7752	0.0025261606202244	0.0050523212404488	0.732586579865076	1.50325957124356	1.18433851097825	Inf	1.40921866216976	0.75362563237774	0.759240861174499	1	1	0.726274163286326	1.42748030645366	0.00195256448008443	0.00410321521177163	0.566243699224485	1.52728830987606	2.30471236475773e-35	4.5778533272585e-35	6.68366585779742e-33	365	349	20
